index,"los angeles county, california",agoura hills-malibu,compton,downey-norwalk,inglewood,long beach-lakewood,los angeles,newhall,palos verdes,pasadena,san fernando,santa monica,south bay cities,south gate-east los angeles,torrance,whittier,san gabriel,antelope
t_pop,10081570.0,65601.0,348802.0,416789.0,376933.0,574378.0,2603620.0,257178.0,91888.0,274264.0,1861629.0,91577.0,139193.0,499075.0,145492.0,325236.0,1604246.0,405669.0
med_age,36.5,45.5,33.6,35.8,35.2,35.4,35.0,36.9,48.5,40.9,37.9,40.1,40.9,31.2,41.9,37.1,39.0,33.5
hs_g,20.6,10.4,25.8,24.5,24.2,18.8,18.0,18.1,12.4,12.8,20.4,8.4,8.7,24.9,16.0,28.9,23.15,27.22
lhs_g,20.9,2.5,32.1,21.6,24.5,18.5,23.4,10.2,4.8,9.4,17.8,5.0,2.8,48.5,5.7,17.9,20.63,20.31
pop_15,8246401.0,55924.0,274412.0,334307.0,299390.0,466916.0,2165224.0,203751.0,76658.0,228348.0,1542793.0,80249.0,112556.0,382565.0,120208.0,265993.0,1324875.0,312232.0
med_inc,29985.0,52449.0,25319.0,29492.0,26532.0,31442.0,27756.0,41201.0,51458.0,43872.0,30714.0,56863.0,67373.0,21399.0,45098.0,31359.0,27183.0,30753.5
pop_det_pov,9928773.0,62716.0,344173.0,413452.0,374722.0,567080.0,2546643.0,249439.0,91232.0,271251.0,1844694.0,90701.0,138865.0,496611.0,144593.0,319208.0,1577008.0,396385.0
pov_level,14.9,5.6,15.9,10.7,16.4,15.5,20.0,7.8,6.2,10.7,13.3,9.9,4.1,21.6,6.9,8.9,11.25,17.25
p_crash,,19.0,43.0,75.0,54.0,381.0,3191.0,42.0,2.0,73.0,99.0,79.0,145.0,47.0,37.0,27.0,394.0,90.0
